"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"980","210663_s_at",1.53896229978448,11.3075606496377,6.01607347952354,1.84554986567058e-05,0.0012505088686584,3.02774961713696,"KYNU","kynureninase"
"769","207616_s_at",0.742395517813462,10.424261488978,6.0133968399978,1.85485886547727e-05,0.00125525907336196,3.02275248235423,"TANK","TRAF family member associated NFKB activator"
"202","1570022_at",1.4907578593235,5.57789090465189,6.01248564614233,1.85803899069924e-05,0.00125585499256259,3.02105110669395,NA,NA
"644","205322_s_at",1.15725685776351,8.68422975806253,6.00661972345661,1.87864743591361e-05,0.00126821473940111,3.01009551727932,"MTF1","metal regulatory transcription factor 1"
"412","202887_s_at",1.48517100056003,9.43463486103174,6.00434394398614,1.88670658846139e-05,0.00127051426529768,3.0058438269049,"DDIT4","DNA damage inducible transcript 4"
"717","206471_s_at",1.14061262360637,5.25640331585537,6.00452249074908,1.8860730101995e-05,0.00127051426529768,3.00617742029047,"PLXNC1","plexin C1"
"1135","212946_at",1.09970468289595,9.15167987918207,6.00086481400878,1.89909658533871e-05,0.00127728278097417,2.99934259924669,"VWA8","von Willebrand factor A domain containing 8"
"1153","213134_x_at",1.49064993269782,8.97432473346621,5.99395415937983,1.92395824276612e-05,0.00129082471145192,2.98642409731293,"BTG3","BTG anti-proliferation factor 3"
"1799","225636_at",0.631847746833319,12.2160434880723,5.99412291937208,1.92334710661316e-05,0.00129082471145192,2.98673964976328,"STAT2","signal transducer and activator of transcription 2"
"677","205767_at",2.49469449119899,6.04044248788811,5.99263363816436,1.92874725626708e-05,0.001292449986583,2.98395481053763,"EREG","epiregulin"
"1251","214838_at",0.868568113113145,9.76217883371049,5.98919122282829,1.94128982080797e-05,0.00129926055127188,2.97751658144907,"SFT2D2","SFT2 domain containing 2"
"733","206715_at",0.728393769243269,10.2016606728037,5.97952753471613,1.97695434458503e-05,0.00132151049719489,2.95943411041533,"TFEC","transcription factor EC"
"2041","229214_at",-0.595781928205318,8.14441235270823,-5.97853025143652,1.98067340854196e-05,0.0013223779567323,2.95756727748684,"STX7","syntaxin 7"
"1817","225940_at",1.2448037883018,7.01574840852104,5.97580725066386,1.9908650437154e-05,0.00132755937280133,2.95246933810823,"EIF4E3","eukaryotic translation initiation factor 4E family member 3"
"50","1554443_s_at",0.740889874579354,8.62185539608178,5.97018038838812,2.01209808442654e-05,0.00133844960639204,2.94193159172341,"BEST1","bestrophin 1"
